Year,Date,Stage,Course,Distance,Type,Winner
1903,01/07/1903,1,Paris to Lyon,467 km (290 mi),Plain stage,Maurice Garin (FRA)
1903,05/07/1903,2,Lyon to Marseille,374 km (232 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA)
1903,08/07/1903,3,Marseille to Toulouse,423 km (263 mi),Plain stage,Hippolyte Aucouturier (FRA)
1903,12/07/1903,4,Toulouse to Bordeaux,268 km (167 mi),Plain stage,Charles Laeser (SUI)
1903,13/07/1903,5,Bordeaux to Nantes,425 km (264 mi),Plain stage,Maurice Garin (FRA)
1903,18/07/1903,6,Nantes to Paris,471 km (293 mi),Plain stage,Maurice Garin (FRA)
1904,02/07/1904,1,Montgeron to Lyon,467 km (290 mi),Plain stage,Maurice Garin (FRA)
1904,09/07/1904,2,Lyon to Marseille,374 km (232 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA)
1904,13/07/1904,3,Marseille to Toulouse,424 km (263 mi),Plain stage,Hippolyte Aucouturier (FRA)
1904,17/07/1904,4,Toulouse to Bordeaux,268 km (167 mi),Plain stage,Lucien Pothier (FRA)
1904,20/07/1904,5,Bordeaux to Nantes,425 km (264 mi),Plain stage,Hippolyte Aucouturier (FRA)
1904,23/07/1904,6,Nantes to Paris,471 km (293 mi),Plain stage,Hippolyte Aucouturier (FRA)
1905,09/07/1905,1,Paris to Nancy,340 km (210 mi),Plain stage,Louis Trousselier (FRA)
1905,11/07/1905,2,Nancy to Besançon,299 km (186 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA)
1905,14/07/1905,3,Besançon to Grenoble,327 km (203 mi),Plain stage,Louis Trousselier (FRA)
1905,16/07/1905,4,Grenoble to Toulon,348 km (216 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA)
1905,18/07/1905,5,Toulon to Nîmes,192 km (119 mi),Plain stage,Louis Trousselier (FRA)
1905,20/07/1905,6,Nîmes to Toulouse,307 km (191 mi),Plain stage,Jean-Baptiste Dortignacq (FRA)
1905,22/07/1905,7,Toulouse to Bordeaux,268 km (167 mi),Plain stage,Louis Trousselier (FRA)
1905,24/07/1905,8,Bordeaux to La Rochelle,257 km (160 mi),Plain stage,Hippolyte Aucouturier (FRA)
1905,26/07/1905,9,La Rochelle to Rennes,263 km (163 mi),Plain stage,Louis Trousselier (FRA)
1905,28/07/1905,10,Rennes to Caen,167 km (104 mi),Plain stage,Jean-Baptiste Dortignacq (FRA)
1905,29/07/1905,11,Caen to Paris,253 km (157 mi),Plain stage,Jean-Baptiste Dortignacq (FRA)
1906,04/07/1906,1,Paris to Lille,275 km (171 mi),Plain stage,Emile Georget (FRA)
1906,06/07/1906,2,Douai to Nancy,400 km (250 mi),Plain stage,René Pottier (FRA)
1906,08/07/1906,3,Nancy to Dijon,416 km (258 mi),Stage with mountain(s),René Pottier (FRA)
1906,10/07/1906,4,Dijon to Grenoble,311 km (193 mi),Plain stage,René Pottier (FRA)
1906,12/07/1906,5,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),René Pottier (FRA)
1906,14/07/1906,6,Nice to Marseille,292 km (181 mi),Plain stage,Georges Passerieu (FRA)
1906,16/07/1906,7,Marseille to Toulouse,480 km (300 mi),Plain stage,Louis Trousselier (FRA)
1906,18/07/1906,8,Toulouse to Bayonne,300 km (190 mi),Plain stage,Jean-Baptiste Dortignacq (FRA)
1906,20/07/1906,9,Bayonne to Bordeaux,338 km (210 mi),Plain stage,Louis Trousselier (FRA)
1906,22/07/1906,10,Bordeaux to Nantes,391 km (243 mi),Plain stage,Louis Trousselier (FRA)
1906,24/07/1906,11,Nantes to Brest,321 km (199 mi),Plain stage,Louis Trousselier (FRA)
1906,26/07/1906,12,Brest to Caen,415 km (258 mi),Plain stage,Georges Passerieu (FRA)
1906,29/07/1906,13,Caen to Paris,259 km (161 mi),Plain stage,René Pottier (FRA)
1907,08/07/1907,1,Paris to Roubaix,272 km (169 mi),Plain stage,Louis Trousselier (FRA)
1907,10/07/1907,2,Roubaix to Metz,398 km (247 mi),Plain stage,Emile Georget (FRA)[b] Louis Trousselier (FRA)[b]
1907,12/07/1907,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),Emile Georget (FRA)
1907,14/07/1907,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),Marcel Cadolle (FRA)
1907,16/07/1907,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),Emile Georget (FRA)
1907,18/07/1907,6,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),Georges Passerieu (FRA)
1907,20/07/1907,7,Nice to Nîmes,345 km (214 mi),Plain stage,Emile Georget (FRA)
1907,22/07/1907,8,Nîmes to Toulouse,303 km (188 mi),Plain stage,Emile Georget (FRA)
1907,24/07/1907,9,Toulouse to Bayonne,299 km (186 mi),Plain stage,Lucien Petit-Breton (FRA)
1907,26/07/1907,10,Bayonne to Bordeaux,269 km (167 mi),Plain stage,Gustave Garrigou (FRA)
1907,28/07/1907,11,Bordeaux to Nantes,391 km (243 mi),Plain stage,Lucien Petit-Breton (FRA)
1907,30/07/1907,12,Nantes to Brest,321 km (199 mi),Plain stage,Gustave Garrigou (FRA)
1907,01/08/1907,13,Brest to Caen,415 km (258 mi),Plain stage,Emile Georget (FRA)
1907,04/08/1907,14,Caen to Paris,251 km (156 mi),Plain stage,Georges Passerieu (FRA)
1908,13/07/1908,1,Paris to Roubaix,272 km (169 mi),Plain stage,Georges Passerieu (FRA)
1908,15/07/1908,2,Roubaix to Metz,398 km (247 mi),Plain stage,Lucien Petit-Breton (FRA)
1908,17/07/1908,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),François Faber (LUX)
1908,19/07/1908,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),François Faber (LUX)
1908,21/07/1908,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),Georges Passerieu (FRA)
1908,23/07/1908,6,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),Jean-Baptiste Dortignacq (FRA)
1908,25/07/1908,7,Nice to Nîmes,354 km (220 mi),Plain stage,Lucien Petit-Breton (FRA)
1908,27/07/1908,8,Nîmes to Toulouse,303 km (188 mi),Plain stage,François Faber (LUX)
1908,29/07/1908,9,Toulouse to Bayonne,299 km (186 mi),Plain stage,Lucien Petit-Breton (FRA)
1908,31/07/1908,10,Bayonne to Bordeaux,269 km (167 mi),Plain stage,Georges Paulmier (FRA)
1908,02/08/1908,11,Bordeaux to Nantes,391 km (243 mi),Plain stage,Lucien Petit-Breton (FRA)
1908,04/08/1908,12,Nantes to Brest,321 km (199 mi),Plain stage,François Faber (LUX)
1908,06/08/1908,13,Brest to Caen,415 km (258 mi),Plain stage,Georges Passerieu (FRA)
1908,09/08/1908,14,Caen to Paris,251 km (156 mi),Plain stage,Lucien Petit-Breton (FRA)
1909,05/07/1909,1,Paris to Roubaix,272 km (169 mi),Plain stage,Cyrille van Hauwaert (BEL)
1909,07/07/1909,2,Roubaix to Metz,398 km (247 mi),Plain stage,François Faber (LUX)
1909,09/07/1909,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),François Faber (LUX)
1909,11/07/1909,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),François Faber (LUX)
1909,13/07/1909,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),François Faber (LUX)
1909,15/07/1909,6,Grenoble to Nice,346 km (215 mi),Stage with mountain(s),François Faber (LUX)
1909,17/07/1909,7,Nice to Nîmes,345 km (214 mi),Plain stage,Ernest Paul (FRA)
1909,19/07/1909,8,Nîmes to Toulouse,303 km (188 mi),Plain stage,Jean Alavoine (FRA)
1909,21/07/1909,9,Toulouse to Bayonne,299 km (186 mi),Plain stage,Constant Ménager (FRA)
1909,23/07/1909,10,Bayonne to Bordeaux,269 km (167 mi),Plain stage,François Faber (LUX)
1909,25/07/1909,11,Bordeaux to Nantes,391 km (243 mi),Plain stage,Louis Trousselier (FRA)
1909,27/07/1909,12,Nantes to Brest,321 km (199 mi),Plain stage,Gustave Garrigou (FRA)
1909,29/07/1909,13,Brest to Caen,424 km (263 mi),Plain stage,Paul Duboc (FRA)
1909,01/08/1909,14,Caen to Paris,250 km (160 mi),Plain stage,Jean Alavoine (FRA)
1910,03/07/1910,1,Paris to Roubaix,269 km (167 mi),Plain stage,Charles Crupelandt (FRA)
1910,05/07/1910,2,Roubaix to Metz,398 km (247 mi),Plain stage,François Faber (LUX)
1910,07/07/1910,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),Emile Georget (FRA)
1910,09/07/1910,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),François Faber (LUX)
1910,11/07/1910,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),Octave Lapize (FRA)
1910,13/07/1910,6,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),Julien Maitron (FRA)
1910,15/07/1910,7,Nice to Nîmes,345 km (214 mi),Plain stage,François Faber (LUX)
1910,17/07/1910,8,Nîmes to Perpignan,216 km (134 mi),Plain stage,Georges Paulmier (FRA)
1910,19/07/1910,9,Perpignan to Luchon,289 km (180 mi),Stage with mountain(s),Octave Lapize (FRA)
1910,21/07/1910,10,Luchon to Bayonne,326 km (203 mi),Stage with mountain(s),Octave Lapize (FRA)
1910,23/07/1910,11,Bayonne to Bordeaux,269 km (167 mi),Plain stage,Ernest Paul (FRA)
1910,25/07/1910,12,Bordeaux to Nantes,391 km (243 mi),Plain stage,Louis Trousselier (FRA)
1910,27/07/1910,13,Nantes to Brest,321 km (199 mi),Plain stage,Gustave Garrigou (FRA)
1910,29/07/1910,14,Brest to Caen,424 km (263 mi),Plain stage,Octave Lapize (FRA)
1910,31/07/1910,15,Caen to Paris,262 km (163 mi),Plain stage,Ernesto Azzini (ITA)
1911,02/07/1911,1,Paris to Dunkerque,351 km (218 mi),Plain stage,Gustave Garrigou (FRA)
1911,04/07/1911,2,Dunkerque to Longwy,388 km (241 mi),Plain stage,Jules Masselis (BEL)
1911,06/07/1911,3,Longwy to Belfort,331 km (206 mi),Stage with mountain(s),François Faber (LUX)
1911,08/07/1911,4,Belfort to Chamonix,344 km (214 mi),Stage with mountain(s),Charles Crupelandt (FRA)
1911,10/07/1911,5,Chamonix to Grenoble,366 km (227 mi),Stage with mountain(s),Émile Georget (FRA)
1911,12/07/1911,6,Grenoble to Nice,348 km (216 mi),Stage with mountain(s),François Faber (LUX)
1911,14/07/1911,7,Nice to Marseille,334 km (208 mi),Stage with mountain(s),Charles Crupelandt (FRA)
1911,16/07/1911,8,Marseille to Perpignan,335 km (208 mi),Plain stage,Paul Duboc (FRA)
1911,18/07/1911,9,Perpignan to Luchon,289 km (180 mi),Stage with mountain(s),Paul Duboc (FRA)
1911,20/07/1911,10,Luchon to Bayonne,326 km (203 mi),Stage with mountain(s),Maurice Brocco (FRA)
1911,22/07/1911,11,Bayonne to La Rochelle,379 km (235 mi),Plain stage,Paul Duboc (FRA)
1911,23/07/1911,12,La Rochelle to Brest,470 km (290 mi),Plain stage,Marcel Godivier (FRA)
1911,26/07/1911,13,Brest to Cherbourg-en-Cotentin,405 km (252 mi),Plain stage,Gustave Garrigou (FRA)
1911,28/07/1911,14,Cherbourg to Le Havre,361 km (224 mi),Plain stage,Paul Duboc (FRA)
1911,30/07/1911,15,Le Havre to Paris,317 km (197 mi),Plain stage,Marcel Godivier (FRA)
1912,30/06/1912,1,Paris to Dunkerque,351 km (218 mi),Plain stage,Charles Crupelandt (FRA)
1912,02/07/1912,2,Dunkerque to Longwy,388 km (241 mi),Plain stage,Odile Defraye (BEL)
1912,04/07/1912,3,Longwy to Belfort,331 km (206 mi),Stage with mountain(s),Eugène Christophe (FRA)
1912,06/07/1912,4,Belfort to Chamonix,344 km (214 mi),Stage with mountain(s),Eugène Christophe (FRA)
1912,08/07/1912,5,Chamonix to Grenoble,366 km (227 mi),Stage with mountain(s),Eugène Christophe (FRA)
